ID,Type,SKU,Name,Published,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: _product_url,Meta: _button_text,Meta: _variation_description
,simple,FIDA-BRL-KURZ,Brelok W Kącie Kurz,1,visible,"Brelok lub zawieszka do torebki, plecaka lub kluczy.","<ul><li><p> Unisex</p></li><li><p> Długość ok. 23 cm</p></li><li><p> Szerokość ok. 6 cm</p></li></ul><p>Zawieszka pachnie polskim lasem. Wykonana jest z koralików z naturalnego drewna bukowego, pochodzącego z Podhala. Korale są toczone ręcznie, a następnie czyszczone, bejcowane i lakierowane ekologicznymi preparatami, które niepowodują podrażnień skóry, ani nie odbarwiają się na ubraniach. </p><p>Kolorystyka energetyczna, ponadczasowa, pasująca zarówno do torebek, jak i plecaków.</p><p>Nowość:</p><p>Z okazji otwarcia sklepu internetowego Fidy, do każdego zamówionego breloka mała specjalna niespodzianka od samej Fidy. Okazja trwa do końca czerwca 2026.</p>",,,taxable,1,,,no,0,,,,,1,,,59.00,Breloki,Nowość,,https://cdn.zyrosite.com/cdn-ecommerce/store_01KR747ZH98X57JZ69SP34V6G7/assets/1608d7cc-869b-48f8-ad03-29b0ce9406d4.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,
,simple,FIDA-BRL-MIOD,Brelok Miodowe Lata,1,visible,"Brelok lub zawieszka do torebki, plecaka lub kluczy.","<ul><li><p> Unisex</p></li><li><p> Długość ok. 25 cm</p></li><li><p> Szerokość ok. 6 cm</p></li></ul><p>Zawieszka pachnie polskim lasem. Wykonana jest z koralików z naturalnego drewna bukowego, pochodzącego z Podhala. Korale są toczone ręcznie, a następnie czyszczone, bejcowane i lakierowane ekologicznymi preparatami, które niepowodują podrażnień skóry, ani nie odbarwiają się na ubraniach. </p><p>Kolorystyka energetyczna, ponadczasowa, pasująca zarówno do torebek, jak i plecaków. </p><p>Nowość:</p><p>Z okazji otwarcia sklepu internetowego Fidy, do każdego zamówionego breloka mała specjalna niespodzianka od samej Fidy. Okazja trwa do końca czerwca 2026.</p>",,,taxable,1,,,no,0,,,,,1,,,59.00,Breloki,Nowość,,https://cdn.zyrosite.com/cdn-ecommerce/store_01KR747ZH98X57JZ69SP34V6G7/assets/8f1ba410-4b70-401d-a688-506fc5d6386e.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,
,simple,FIDA-BRL-TRAM,Brelok Upadek w Tramwaju,1,visible,"Brelok lub zawieszka do torebki, plecaka lub kluczy.","<ul><li><p> Unisex</p></li><li><p> Długość ok. 25 cm</p></li><li><p> Szerokość ok. 6 cm</p></li></ul><p>Zawieszka pachnie polskim lasem. Wykonana jest z koralików z naturalnego drewna bukowego, pochodzącego z Podhala. Korale są toczone ręcznie, a następnie czyszczone, bejcowane i lakierowane ekologicznymi preparatami, które niepowodują podrażnień skóry, ani nie odbarwiają się na ubraniach. </p><p>Kolorystyka energetyczna, ponadczasowa, pasująca zarówno do torebek, jak i plecaków.</p><p>Nowość:</p><p>Z okazji otwarcia sklepu internetowego Fidy, do każdego zamówionego breloka mała specjalna niespodzianka od samej Fidy. Okazja trwa do końca czerwca 2026.</p>",,,taxable,1,,,no,0,,,,,1,,,59.00,Breloki,Nowość,,https://cdn.zyrosite.com/cdn-ecommerce/store_01KR747ZH98X57JZ69SP34V6G7/assets/ecfc2bb0-5505-46c2-beec-7f48f296ec78.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,
,simple,FIDA-TORBA-CZ,Torba Zakupowa W Czerwoności,1,visible,"Wykonana z włókien bawełny (bawełna 100%) Starannie wykonane szycie,&nbsp;mocny splot drelichowy typu panama Nadaje się do prania Produkt polski Wymia…","<ul><li><p>Wykonana z włókien bawełny (bawełna 100%)</p></li><li><p>Starannie wykonane szycie, mocny splot drelichowy typu panama</p></li><li><p> Nadaje się do prania</p></li><li><p>Produkt polski</p></li></ul><ul><li><p>Wymiary:</p></li></ul><table><colgroup><col><col></colgroup><tbody><tr><th colspan=""1"" rowspan=""1""><p>długość:</p></th><td colspan=""1"" rowspan=""1""><p>56 cm</p></td></tr><tr><th colspan=""1"" rowspan=""1""><p>wysokość:</p></th><td colspan=""1"" rowspan=""1""><p>37 cm</p></td></tr><tr><th colspan=""1"" rowspan=""1""><p>szerokość przy podstawie:</p></th><td colspan=""1"" rowspan=""1""><p>14 cm</p></td></tr><tr><th colspan=""1"" rowspan=""1""><p>promień uchwytu:</p></th><td colspan=""1"" rowspan=""1""><p>30 cm</p></td></tr><tr><th colspan=""1"" rowspan=""1""><p>gramatura tkaniny:</p></th><td colspan=""1"" rowspan=""1""><p>300 g/m2</p></td></tr></tbody></table>",,,taxable,1,,,no,0,,,,,1,,,69.00,Torby,Nowość,,https://cdn.zyrosite.com/cdn-ecommerce/store_01KR747ZH98X57JZ69SP34V6G7/assets/214e3b12-1847-4e11-a8ec-d6431fe32f03.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,
,simple,FIDA-TORBA-KR,Torba Zakupowa W Kremie,1,visible,"Wykonana z włókien bawełny (bawełna 100%) Starannie wykonane szycie,&nbsp;mocny splot drelichowy typu panama Nadaje się do prania Produkt polski Wymia…","<ul><li><p>Wykonana z włókien bawełny (bawełna 100%)</p></li><li><p>Starannie wykonane szycie, mocny splot drelichowy typu panama</p></li><li><p> Nadaje się do prania</p></li><li><p>Produkt polski</p></li></ul><ul><li><p>Wymiary:</p></li></ul><table><colgroup><col><col></colgroup><tbody><tr><th colspan=""1"" rowspan=""1""><p>długość:</p></th><td colspan=""1"" rowspan=""1""><p>56 cm</p></td></tr><tr><th colspan=""1"" rowspan=""1""><p>wysokość:</p></th><td colspan=""1"" rowspan=""1""><p>37 cm</p></td></tr><tr><th colspan=""1"" rowspan=""1""><p>szerokość przy podstawie:</p></th><td colspan=""1"" rowspan=""1""><p>14 cm</p></td></tr><tr><th colspan=""1"" rowspan=""1""><p>promień uchwytu:</p></th><td colspan=""1"" rowspan=""1""><p>30 cm</p></td></tr><tr><th colspan=""1"" rowspan=""1""><p>gramatura tkaniny:</p></th><td colspan=""1"" rowspan=""1""><p>300 g/m2</p></td></tr></tbody></table>",,,taxable,1,,,no,0,,,,,1,,,69.00,Torby,Nowość,,https://cdn.zyrosite.com/cdn-ecommerce/store_01KR747ZH98X57JZ69SP34V6G7/assets/02410eab-6df0-41cc-b26b-25d577d8b304.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,
,variable,FIDA-KOSZ-BIALA,Biała Koszulka Idealny Samochód,1,visible,"Biała koszulka z nadrukiem ""Idealny samochód nie istn..""","<ul><li><p>Unisex</p></li><li><p>Regular Fit</p></li><li><p>Kolor biały</p></li><li><p>Wysokiej jakości bawełna czesana</p></li><li><p>Tkana metka z rozmiarem na dekolcie</p></li><li><p>100% bawełna</p></li><li><p>Dekolt ze ściągaczem</p></li><li><p>Taśma na karku</p></li><li><p>Szwy boczne</p></li><li><p>Odrywana metka na szwie bocznym</p></li></ul><img src=""https://cdn.zyrosite.com/cdn-cgi/image/format=auto,fit=crop,q=80,w=768/cdn-ecommerce/store_01KR747ZH98X57JZ69SP34V6G7/assets/969b0d30-87dc-4a30-b69d-27bd570cfb68.png"" alt="""" title="""">",,,taxable,1,,,no,0,,,,,1,,,99.00,Koszulki,Nowość,,"https://cdn.zyrosite.com/cdn-ecommerce/store_01KR747ZH98X57JZ69SP34V6G7/assets/03a7c937-bc60-433d-9461-cc5c60b12e67.png, https://cdn.zyrosite.com/cdn-ecommerce/store_01KR747ZH98X57JZ69SP34V6G7/assets/1c0a595d-8c1d-4097-8871-91b0d72c0e59.png",,,,,,,,,0,pa_rozmiar,XS | S | M | L | XL | 2XL,1,1,,,,,,,,,,,,,,
,variation,FIDA-KOSZ-BIALA-XS,Biała Koszulka Idealny Samochód – XS,1,visible,,,,,taxable,1,,,no,0,,,,,1,,,99.00,,,,,,,FIDA-KOSZ-BIALA,,,,,,,pa_rozmiar,XS,1,1,,,,,,,,,,,,,,
,variation,FIDA-KOSZ-BIALA-S,Biała Koszulka Idealny Samochód – S,1,visible,,,,,taxable,1,,,no,0,,,,,1,,,99.00,,,,,,,FIDA-KOSZ-BIALA,,,,,,,pa_rozmiar,S,1,1,,,,,,,,,,,,,,
,variation,FIDA-KOSZ-BIALA-M,Biała Koszulka Idealny Samochód – M,1,visible,,,,,taxable,1,,,no,0,,,,,1,,,99.00,,,,,,,FIDA-KOSZ-BIALA,,,,,,,pa_rozmiar,M,1,1,,,,,,,,,,,,,,
,variation,FIDA-KOSZ-BIALA-L,Biała Koszulka Idealny Samochód – L,1,visible,,,,,taxable,1,,,no,0,,,,,1,,,99.00,,,,,,,FIDA-KOSZ-BIALA,,,,,,,pa_rozmiar,L,1,1,,,,,,,,,,,,,,
